text,class
تيقي بيا ماغديش الالة نعاودها مرة اخرى,morocco
واحنا بنحب كل اهل الجزائر,egypt
أنا تاني حكمني يومين عينيا لزوج بعدا تما كي مرضت أنا و هوما ريحو ولاوا يبعدوا عليا,algeria
تالمون لي عجبوه بقا ينسيستي باش نفهمهملو,algeria
شخص صريح و نتمنى نلقى  اشخاص كيفو و تبقى الصراحة امتاعو للابد,tunisia
1- وقف الهزار ووقف الدخول فى أى مهاترات خارج نطاق الدرس,egypt
انت معلم واحنا منك نتعلم نسكت وانت موجود هههه كلامك حكم يا معلم,tunisia
ليلة  مشومة  على  بية  الزردي  و  مريولها,tunisia
مطهرينك في شعبة و تحكي عالنضال  ؟؟,tunisia
امبعد عاوتي عيتي هزيت انا عليك,algeria
والحمد لالله لقيت في الغلاف لدريسة ديال لطبع الكتاب وطلبت منو كتوب خُرين أو صيفط لي شنو طلبت,morocco
الدقيق غالي بصح كي نشريو كيلو يحكملنا تلاتة ايام ولا ربعة ايام,algeria
كل يوم,algeria
خلط في خلط. حكاية فارغة و قصة سخيفة لوكان لهوفتوه المسلسل من عمناول خير مالطول الفارغ. سيناريو ردئ و فازات محروقة مسلسل بارد ماسط. قناة الحوار على قد ما عطيناكم ثيقتنا على قد ماقاعدين تخدلوا فينا. احنا مانكرهوكمش أما أنتم ماتحبوناش,tunisia
لحاس وما يجي شي هاو جا يلمع في صورة اسيادو,tunisia
جاب لمصر احلى هدية وهو طبعا ابنة جمال,egypt
مالقيتش رقم مفيدة عندي وصافي,morocco
يبقا ولا يمشي,morocco
فله جزائرية اهلا و سهلا فيك في تونس و انشاالله ديما اتزورنا,tunisia
سييت تحطو في ميكرو واحداخر,algeria
حتى أنا ف واحد الحالة حالتها تنحس ب الدوخة و فية النعاس,morocco
نقنط من شنو من السفر ولا من الهدرة,morocco
الحالة تكون تالمون تعجب كلي واحد ياكل العسل,algeria
هوما راحوا سمطوها,algeria
تيقني البرد بزاف,morocco
واش شفتي شنو لبست أ بنتي,morocco
الحمدلله ربنا شاء السلامة لركاب القطار من اجل الغلابة اللى مش عارفين يلاقوها منين ولا منين واتمنى من اله ان يتعظ الناس وان المسؤولين عن التحويلات وسلامة القطارات ياخدوا بالهم اكتر من كدة.,egypt
يعطيكم الصحة,tunisia
راني حليت المشكلة نتاع الحروف الفرنسية,algeria
ماسطة برشا و دمها ثقيل :3 :3,tunisia
إيه الطون ممكن,morocco
هدشي مزيان وش خدام ولا لا,morocco
مالا كامل دزاير يلزم ينحولها السحر بماء البحر,algeria
لالا لالا يجيك لخر هو اخر واحد سجلتيه,algeria
من نهار باع بابا الطوموبيل مشى كل أمل,morocco
ربنايزيدك يانيفين هبل وغباءوتخلف ويجعلك عبرة للمغفلين,egypt
والله إذا كان النادي عبارة عن مقهى يجيه صاحبه عصرية ياخذ خرجية اليوم واستكانة شاي!!,egypt
أداك تاع المحكمة بلاك عيط,algeria
كان فية مصري يعمل لدى الاندلس للالمنيوم في الرياض اداري للمصنع طلع واخذ رخصة مستثمر اجنبي وبدل مايفتح مصنع فتح ورشة في الشفاء وجاب جماعته ومعارفة من مصر بفيز على كفالته وشغلهم واخذ 90% من عملاء مصنع الاندلس والامثلة كثير حسبي الله ونعم الوكيل كل القرارت ضد مصلحة المواطن كان التوجة السياسي ان نبقى ضع,egypt
الانسان هذا بلييبيييد,tunisia
جيبي لمعالق,morocco
اصلا قمة العار باش يحكيو فى هذا الموضوع.......,tunisia
يوجع بصح مام  بﺎ دومينوت نقدر نحمل نورمال,algeria
عرفتو اللعبة الزاى,egypt
هادي دباة شي سيمانة ولا كتر,morocco
"ليه كل شي تفهمونه انه ""دعوه للاختلاط"" !!",egypt
وعلاه؟ هنا ما يديروش تاست ؟,algeria
رحت هكا طلعت، جاتني وحدة راح تديرلي اونتروتيان,algeria
فعلا قدر مصر انها تعيش وسط كومةمن الزبالة..ومجموعات من الاصفار..,egypt
حرام عليكم زعلتم (اشتياق محمد ),egypt
منحط اخلاقيا غلطه من اغلاط ثورة البهامة,tunisia
خصهم يتموتفاو,morocco
سعادتك تبقى انا ..,egypt
خليها ليا فاش تجي سيفطيها لي,morocco
هي وقفت على غالي كل الاعبين ماستلمو شي,egypt
أنا تنقول ليها عاءشة أنا مريضة و هي تتقول لي صافي سيري,morocco
انتوا فين علشان تتهمونا وتقولوا المسلمين هى اللى عملت كدة وفية اصابات وكام عددهم علشان تبقى تعلقاتهم تبقى فى محلها اكيد راحت عليهم نومه اوالدخان عمل لهم اختناق معلش تعيشوا وتخدوا غيرها......اكيد سببها هو ..........ولا مش لازم,egypt
مقبولة بصفة عامة بصح يضهرلي كاين جمل غالطين,algeria
اروح شوربه انا ياكريستين,egypt
عار على تونس ربي قدر الخير,tunisia
لا زوز أو على الحيوانات مشو على لعباد,algeria
مزالت عندك,algeria
هي كي توصل لقطة مليحة  تنوض تسقسي,algeria
طربيزة 5,egypt
داوه عند الملك و الملك عامل واحد الدار هاكا يربي فيها الحيوانات المتوحشة,algeria
مشالله عليكم الزوز,tunisia
زيد على دكشي متنعرف حتى واحد فهمتي,morocco
و زدت قلت لشيماء باش تسـقم  التيفون تاعهم,algeria
هوما ديما تيخطئو قليل فاش تيصدقو,morocco
ياناس.........ياعقلاء ان كنتم.......انتم اثبتم انكم لا تصلحون لقيادة سيارة وليس بلد........ريحونا وشفوا حياتكم وسيبوا البلد فى حالها,egypt
راك معلم.,tunisia
قلت لها ما نرميش و ديري واش حبيتي تحب تقلقك,algeria
تحفونة صغننونة,tunisia
والله الله غالب أكي شفتي مشني قادرة ندير حتى حاجة,algeria
أصلا لقاو حية,algeria
الضرائب,morocco
يمكن بغيتي تنعسي,morocco
في بن عكنون,algeria
أيا صحا في لامان,algeria
كنعرف نعس صافي هدشي كلشي لي تنعرف شنو ندير,morocco
واش درتو ما نحملش نسنا,algeria
فنانة تستحق التقدير <3,tunisia
ما جاش قﺪك,algeria
من الجزائر بغيت نجي لهاد البلاصة خاويت,morocco
يعني الحق الحق  ماما حتى أنا كرهته من نهار درتيه كيما ديرو خالتي كرهته و وليت ما نحملوش قاع,algeria
نسبة الناجحين في البكالوريا كانت خرافية,algeria
والله والله منشيه بني احسن اثبت الوجود,egypt
ولكن قلت ليه إلا متدارش عقد الصداق مغديش نخرج معاك أبدا,morocco
المحافظ عدليحسين كان عضو اليمين في قضية التعذيب الكبري بتاعت زكي بدر وحكم بالبراءة علي جميع من قاموا بالتعذيب . وعدها اصبح محافظ. والان يريد ان يكون وزير . فلازم يهاجم البرادعي عتشان التغير الوزاري القادم اذا كانوا موجودين اصلا,egypt
اه أنا قادة,morocco
 الطالب بينام كويس بيصحى مصحصح ما في داعي لتأخير الدوام,egypt
معاك يادكتور برادعى نحو التقدم,egypt
أنا نشوفها غير كي نكون مسافرة,algeria
أنا عارفها هكدا,morocco
ربنا ينصرك انا عارف انك مظلوم وانك على حق ربنا ينصرك ويسدد خطاك ويظهر الحق الظاهر الراجل المحترم بقى مطهدفى كل مكان علشان الناس الى بالى بالك تاخد راحتها وشكرا,egypt
إو شنو هو الكبود,morocco
جعفور ممثل كبير و كوميدي ربي يوفقه برافو  جعفور واصل,tunisia
مريم مريمتي ......محلاك مريومة وفسخ وبدا من جديد ....,tunisia
إمرأة رهدن,tunisia
ممثلة متمكنة من انظف الممثلين في تونس بالتوفيق ان شاء الله,tunisia
الله يسمع منك يا ايمان والكل بيجيب دهب انشالله,egypt
هي مكتسمعش كلشي,morocco
سبيطار فيه مواضافين من كلش البلدان من أوروبا من إفريقيا و كانت عالقتي بيهوم غير الخدمة,morocco
هادي سعتاين وهما تيهدرو شنو كاين البارح و ليوم الهدرة فابور,morocco
ولكن قلت لي الواليد يديها لشي مختص حسن,morocco
الناس اتشردت وكتير اتسجن واتخرب بيوتهم. ربنا ينتقم من كل ظالم وحسبنا الله ونعم الوكيل,egypt
بس فى غيرك كل يوم بيتهانوا داخل مقر امن الدولة بالاميرية وناس بقالها شهور وزويهم لا تعرف حتى مقابلتهم لا توجد حتى جريمة فعلوها نفسى يتم التحقيق مع ظباط امن الدولة بالاميرية ومعرفة المحتجزون بدون وجهة حق كلمة حق ومطر اقولها لعل وعسى يسمعها مسئول مزال قلبة ينبض بالضمير !!!,egypt
ممثلة ناجحة,tunisia
نصيحة مواطن لن ترتقي بلدنا ونحن ندار بايدي عجزه نائمون مخرفون نظام (((لالا))) وتحتها توقيع,egypt
على بالك بلي كان تعدي الظهر ما بقاتش دبيحة,algeria
البطاقة ديالك مبقاتش خدامة,morocco
العيب مش في شيخ تحيفة العيب في مقدم البرنامج نورمالمون مايساءلوش سؤال كيما هذا ويقولو فسرلي أما بالنسبة للتمثيل فهو مبدع وماصاب يعودلنا المسلسل خطاب علي الباب مسلسل عمرو ما يتنسى,tunisia
بابا,algeria
كلاب باعوا هممتهم بالفلوس باش يخرجوا علينا بالكلام الماسخ,tunisia
بالصراحة لا علاقة بالتمثيل,tunisia
حسبي الله ونعم الوكيل فيك يا كلب والله تستاهل الذبح في ها الشهر الفضيل  الطحانة لي كيفك غلوا علينا الخبزة تفوه عليك يا ماكش راجل شهر عبادة عامل بيه هكه ويعدي كان في الفساد يا فاسد والله لعظيم لا تكساب غرام تربية تفكر روحك نهار لي توقف قدام ربي وقتها واجهوا تإلي تعمل فيه تو يا كلب تفوه ألف مرة عليك يا حثالة,tunisia
بارك الله فيك، قلت لها أنا يا مادام كلش تخدم في لانفورماتيك بالصح تبقى دايمن كاينة حاجة زايدة كي نخدم الخدمة تاعي  ندير شابيتر فيه كومباريزون ما بين الخدمة تاعي و الخدمة تاع لي قبلي و نشوفو  شكون خير دونك هدي تاني خلينا منها,algeria
و هاي وش اسمها لهنا,algeria
لأن المخبى ظهر واستبان,egypt
انت بس جيت منين ومين سندك ؟,egypt
بلعقل بلعقل,algeria
"ربنا لا تأخذنا بما فعل السفهاء منا ....""",tunisia
االخبز بكري وقت الرخا الناس كانت تشريه حتى يطيشوه و حنا درك في الميزيرية,algeria
يغلقوا على الطناش و على الوحدة يحلوا,algeria
و شنو تقض تدير بشوية بشوية صافي,morocco
مشي تيعو,algeria
بغيت نعرف شي معلومات لي كتخص بالأحوال الجوية,morocco
انما اى كومنت لاعالى القوم ممنوع النشر ولا ايه,egypt
الدين,algeria
طبعا الشمطاء مايا اللي تنبح على الضصديق والعدو,tunisia
والله ما حب يهدر,algeria
مالة منين يحسبو لوكان مشي من التصاور تاع الستيليت,algeria
ممثل رائع,tunisia
تيجري من بعد كتطلع و هو واقف عادي,morocco
بحال ظ ض,morocco
ستعملي ماعن ديل الإنوكس,morocco
ملا إمارك هههههه,tunisia
ايه صح إيه,algeria
و يحطنا وسط اللوطوروت,morocco
بالفعل قدوة اﻷبوه فعلا منك نتعلم المعنى الحقيقي لكلمة اب ترفع اك القبعه,tunisia
عايزين حكام مـ الصـين ....... حكـآمنا مرتشششششششين ...,egypt
تيضحك,morocco
محلاك هيشام  برافو,tunisia
المهم ربي يهدينا برك و يصلح راياتنا,algeria
يقولولي لا تزيدي تعدينا و هما هم لي عداوني,algeria
وش قﻠﻚ,algeria
مرا مغرورة ياسر في بالها كان هي مزيانة اما خسارة .....,tunisia
"""المعلم <3",tunisia
الحمدلله وانت لاباس,algeria
حتا الأستادة فاش قلتها ليها قالت لي متقدي تديري حتى حاجة خرى هي الطريقة الوحيدة,morocco
هههه انت المعلم و احنا منك نتعلم Chapo liik ;) <3 _x000D_,tunisia
مشيت لصنطر الإسلامي و شهدت أو بدلت سميتي بحال سميتك حيت أنت مول الفضل بعد الله سبحانه و غادي نمشي نحج إن شاء الله,morocco
مبحسش بالتميز خالص لما الاقي حد عاملي فولو انا و300 الف واحد غيري,egypt
و كنا تنهدرو على الإختصاصات,morocco
ولات الأزمة ف كل بلاصة ، حتى أروبا مبقاتش صالحة ل الهجرة,morocco
واش نضمتي الأمور ديالك,morocco
صباح الخير,algeria
ماكلة و كونيكسيون و قراية,algeria
بصراحة انا مايعجبنيش هشام ماسط من قبل,tunisia
ما يقنعش جملة و زايد في البرنامج,tunisia
الله يرحم والديك يا جلول. ويعطيك الصحه,tunisia
هى عليها ضمان كام سنة او كام عيل او كام كيلو فىت الساعة هههههههههههههههه,egypt
واحد من البندارة,tunisia
و مصر لما تحافظ على استقرارها عيب؟!,egypt
ملا حالة قحب حتي في شهر رمضان لا حولة ولا قوة إلا بالله سمحوني علي كلام لازوني,tunisia
دوك نقولل لك حاجة خالتي زينب راهي هنا دوك,algeria
ماااااسطه حلقة اليلة على قد ما ستنيتها.كان تنجم تكون خير,tunisia
اه حيدتو و التاني ماعندي حتا واحد و إلى كن البطاقة متحملاتش تسجل إلا ادى كنت حيدتو,morocco
موهرة,tunisia
امسخ وقواد ورخيص وكلب,tunisia
وانا اضم صوتي لصوتك أن عبد الواحد صاحب اخلاق عاليه وعلشان كده لازم ينضم للاهلي لان النادي الاهلي نادي مباديء وبطولات وليس كما يقال نادي بطولات مزيفه ...,egypt
بالصح بيانسور حتى انا ديسيديت حاجة,algeria
مليون تحيه من ملايين الشباب الوطنى للاستاذ جمال مبارك ومليون مبروك على الامورة فريدة,egypt
ملا رهوط اللطف,tunisia
صح سجلنا قريب خمسة و عشرين دقيقة,algeria
قمة ما شاء الله عليها,tunisia
آ ايه راكي مليحة,algeria
تمثيلها مزيان برافوووو,tunisia
و درت فيه لا بيس ديال موبيليس,morocco
متيفهمو غير بي العصى,morocco
مفيش احسن من الكـلمه الحلـوه في ضهرگ ,egypt
وشبيكي مشك عاجبتني ليوم,algeria
دايمن ﺗقول ياربي طيحني في واحد هو تاني معوق كيما أنا باش يحس بيا,algeria
سهى فى يوم فرحها بما يعنى ان كانت هناك فترة خطوبة وتعارف بين سهى ويوسف لو هيا كانت بتحب عمر مكنتش هتظهر اى احساس عاطفى ناحية يوسف فكان هيفهم انه شخص غير مرغوب فيه ولكن اللى حصل انها تعاملت معاه واتكلمت معاه كتير وهو عارف شخصيتها واسلوبها ووافق عليها ولقى فيه تجاوب من ناحيتها فلو كانت بتحب عمر كان تفكيرها كله هيبقى فيه ومكنتش هتقابل وتتكلم مع حد تانى وبالتالى مكنش هيكون فيه زواج,egypt
حتى أنا لقيتها حجة,morocco
 انا احتفظت بالصورة لأن بحب ماري اوي,egypt
فتاة متصنعة غير متوازنة نفسيا وزوج مستفز ببرودة أعصابه ..تقولوا منحبكش يقوللها قولي نحبك نكتب عليك صداق. !!!!! الخلاصة قلبي وجعني على ولادهم,tunisia
البلاد لي تقراو فيها مزيان و كتكلو في مزيان و عايشين في سلام معلوم تكون بيضة,morocco
الله غالب يا مدام,algeria
كل شي ف حياتنا حتى إلى كان متواضع تنستمتعو بيه بزاف و تيبهرنا,morocco
لو نعيد همومي نعمر ألف كتاب,algeria
عسل كريم برافو,tunisia
شكيب راجل فحل واذا راح خساره للقناة والوقت هذا روا الراجل وصاحب الكلمه والمتخلق يكرهوه الناس ، اقولها وانا جزاءري يكفي شكيب فخرا انه كان صاحب مبدا,tunisia
موش ضامر حتى طرف و زيد قاعد يفرك فيهم على الرجال,tunisia
"اعلام العااااار انت خايب من عند ربي و زيد ,,, مناظر مقلبة",tunisia
امسط منهم ماريتش العربي و كريم و زعيمهم نوفل,tunisia
مورا تسع سنين كتطل على الشرجم شافتو مرة خرا,morocco
كان جات فمة جائزة نوبل للكذب و التبلعيط ... راو كل عام يربحها عبد الفتاح مورو عن جدارة ..,tunisia
فظائح ومهازل والشعب التونسي يعاني البطالة والفقر والتهميش والحكومة تواصل الكذب والتدليس على شعبها وتحاول ان تغطي على فشلها بمحاولة التركيز على اﻻوظاع في ليبيا وانه لو تم تدخل الغرب في ليبيا سيتدفق الليبيون على تونس واﻻستعداد لمواجهة تداعيات هذا التدخل علما ان الليبيين يدخلون الى تونس باموالهم وليس كﻻجئين ويساهمون في انعاش اﻻقتصاد التونسي منذ دخولهم وحتى مغادرتهم ووفقا لمكتب اﻻمم المتحدة للﻻجئين في تونس فانه ومنذ 2011 م لم تسجل اي حالة ﻻجئ ليبي ولم يتصل بالمكتب اي ليبي طلبا للمساعدة كﻻجئ ولذلك على الحكومة التونسية والسياسيين واﻻعﻻميين التوانسة ان يهتموا بالشأن المحلي لتونس ومعالجة مشاكل شعبهم والمحافظة على عﻻقات طيبة بجيرانها على اساس اﻻحترام المتبادل ﻻن تأزم العﻻقات بين ليبيا وتونس سيؤثر اكثر على الشعب التونسي وبصف خاصة على سكان المناطق الحدودية في بن قردان ومدنين وتطاوين الذين تعرضوا للتهميش من الحكومات التونسية المتعاقبة وتجاهلها في برامج التنمية وكأنهم ليسوا توانسة ولوﻻ امتهانهم للتجارة الموازية مع ليبيا لما استطاعوا ان يواجهوا متطلبات الحياة واخيرا نسأل الله أن يحغظ ليبيا وتونس,tunisia
المرة الجاية,algeria
يا عم احمد والله انا اهلاوى و مقتنع انك لاعب عالة على الفرقة يا راجل دانا بكره حتى اشوفك على البلاى ستيشن,egypt
يا حسرة على نوفل وحدو بصراحة يخلق جو بالسيف.في الحوار التونسي عملتو برشا تغيرات أما راو حد ما ينجم ياخذ بلاسط لآخر مثلا مي القصوري مستحيل تتعوض وإلا هاكي مريم بالقاضي قاعدة تجتهد أما مستحيل تنجم تاخو وإلا توصل إلياس الغربي و حمزة البلومي. مالاخر ارجع يا نوفل لكلام الناس,tunisia
مش مطلوب من الى جاى رئيس لمصر انه يصلح ويبنى ويعمر مطلوب منه يغير نفوس وطباع بشر واسلوب تعامل,egypt
إيه مريم نسيت اصلا الحكاية,algeria
كنت غدي نموت ب الفرحة,morocco
المصيبة ان دة ها يضايق ناس كبيرة وها يضيع السبوبة ال بيقسموها كل موسم,egypt
شفتو تيدير خيط تيدخلو و تيخرجو,morocco
نهار لي مغدي يكون عندي ولو منخدم تنحس بلي كل شي ماشي طبيعي,morocco
ب العربية هو تقيل,morocco
امين اقوى ما عنا توا عسل الدنيا . نقطة و ارجع للسطر من غير نقاش,tunisia
ايه عرفتها,algeria
بشرى بن حميدة امرأة محترمة وجمال المدنى قوله كله صحيح,tunisia
هدا الديكسيونير يبين الكلمات نتاع الفرنسي كيفاش ننطقوها حنايا,algeria
ماسطة خلقي من غير مانتفرج عليهم,tunisia
حسان من الجزاير تفووو داعش ارحم منك.تفووووووو,tunisia
سارة شفتي وش كلاسيت في التاست تاع لفرونسي,algeria
محلاك <3,tunisia
صحيح (y),tunisia
خمسة و خميس عليه يفهم ياسر في تونس حاوس تفهم,tunisia
سلام مراد,morocco
تسمى درك حتان يكونفيرميو,algeria
الله يعاوننا و يعاونكم,morocco
تاع دار مكانهمش,algeria
و الستات واحده بس طب خليهم اتنين .. على راى المرحوم فؤاد المهندس,egypt
لوكان ماكاش ماما بالاك,algeria
يولي وائل يبكي,algeria
بصح ميمي ما تحبوش,algeria
قلت له السلام عليكم كتعرفي وجهه كيتسنى نقول ليه شكون سيفطني قلت له انا طالب تنطور برنامج لبلادي خاسني قائمة الادوية في الجزائر,morocco
غدا حتا هو متيحان ديال التربية المدنية ف الصباح و ف لعشية الرتبية البدنية,morocco
قلت لها وعلاش تحكي لي فيه مالا,algeria
لا كل نهار,morocco
الام مدرسه بس شكلها تغار ابني راح,egypt
تعلمهم و جا,algeria
فيه بزاااااف رجولية محلاهم,tunisia
الجاير بركا قداش نكرهها,tunisia
مزال,algeria
آها نورمال,algeria
ما عنديش حكيتلك كيفاش تعرفت عليه صدفة,algeria
مؤامرة على المصري وربنا يستر في اللي جاي,egypt
إيه التوموبيل الحمراء,algeria
شفتي كيفاش تعرف بنتك هي ﭙﻮرتون مزعوقة بالصح بنتك خير,algeria
تسمحولي نديكونكتا لاقريب بداتني ما نقدرش نزيد,algeria
عايز يظهر ويتكلم في اي شئ يلفت النظر اليه - خلاص خلصت انت معاش ولم تعد تطرب الحي - حتى لو حصلوا على كأس العالم لن يتلفت اليك شخص,egypt
ايه و راهي معروضة,algeria
أرواح شوف فيا,algeria
ما كل هذا الحقد و التبجح على النقاب و المنتقبات و أين الحرية الشخصية و لا الحرية فقط للتعري و الفجور أما الستر و الاحترام لا و ما هو التهديد الذي يشكله النقاب على العملية التعليمية و على البلد ياللي بتخاف على بلدك و البلدهتبقى قشطة و مهلبية من غير نقاب,egypt
قالت لك طافي,algeria
مالة كيفي,algeria
ملقيتش شي موضوع,morocco
انا شايف العقوبات دى قليلة جدا ما حدث امس مهزلة بكل المقايس لازم تكون فيه عقوبات اقوىللردع والا هنلاقى كل يوم واحد بيمسك الحكم وواحد يضرب اعضاء الفريق الفنى للفريق التانى,egypt
بحال إلى تنفكر غير فيهم,morocco
ف الرسائل حط سليمة و كريمة باش يتوجدو,morocco
ندير إضراب إلى شي أستاذ ضرب شي زميل ديلي,morocco
بون ليبروف الكل يقولوا الفرحة تاع الباك ما زيها حتى فرحة,algeria
اتقو ربنا منكم لله,egypt
درك نبربش,algeria
وين يحطوهم ، يقعدوا تلت سنين و يخلوا الدالة,algeria
قﺘﻠﻮ هي أه و امبعد قالت أني مرتو ما نطلقش منو فهمتي,algeria
كي يجي الواحد يحسب يلقى باللي الطلبة قراوا شهرين في العام برك ، هدي عطلة ، هدا عيد ، هدو امتحانات,algeria
مسكينة خالتك أديكا من مشكلة لمشكلة,algeria
إن شاء الله سليمة وقتاش تبداو الدروس ؟,morocco
مزلتي تعيط كيما الصيد,algeria
واش نقول لهم عجبتني يد الرئيس تاعنا,algeria
في أوروبا تيكتبو الورت ديالهم ل كلبهم و فاش تيموت تيديرو ليه جنازة,morocco
حشا خليقت الرحمان  ملا مقداد السهيلي جرثوما فتاك,tunisia
محلها و محلى صوتها,tunisia
غادي نشدهم بلا بروشينغ ولا والو,morocco
"عندما قرأت هذا المقال وقفت حائرا فلم اعد اعلم ماذا نريد تحديد و بعد كثير من التأمل اجد اننا جميعا بحاجة الى التغيير و لكن بأقل الخسائر و كل من اراد ان يتملص من وعوده الكاذبة سأل هذا السؤال انت معانا ولا مع التانيين ؟ فيجيب البرادعي طبعا معاكم فاذا به يأتيه الرد المباغت على فكة احنا التانيين !!! و يكتشف الرجل انه كان متكئا على حائط مائل سرعان ما تهاوى و انكشف الجميع وو جد البرادعي انه في النهايه ان مصر تعيش قدرها و انه لم يأن موعد التغيير فالمواطن همه الاكبر البحث عن قوت يومه فالازمات تتوالى كقطع الليل المظلم واحده تلو الاخرى و لو سألت جل الموطنين عن ماذا يريدون لأجابوا ياعم اللي يحكم يحكم اهم حاجة يخلونا نعيش زي الآدميين . ,,,,,,,,,,,.....................",egypt
بالاك يكلخولك,algeria
قليل اللي يعرفوها,algeria
انسان كيما أدا يخمم على الفايدة تاعو هو قبل من تاع ليتوديون,algeria
مقداد السهيلي أرخص إنسان على وجه الارض و بتاع النقابة الي تكلم نحب نقولو يعطك تيييييييييت,tunisia
دا احنا هنولعوهة لسة ياتحاد الفراولة,egypt
أهلا,morocco
جوايه لحداش هكاك نرقد الوقت هداك هو,algeria
اصبروا فالصبر طيب فسوف يقوم عمرو بالهجوم على اسرائيل بصواريخ الشجب ومدافع الادانه وقنابل الاستنكار وهزي يانواعم,egypt
إيه حقا راح يجيب لخولة الوراق تاعها من البارح و هي توصي فيه بﺎبﺎ بلاك تنسا بﺎبﺎ بلاك تنسا,algeria
حتى أنا بغيتو يجي هو,morocco
طيارة....... يلزمنا انشجعوا الفن اتونسي مهما كانت صفتوا.,tunisia
عندها صوت حلو برشااا تابعتها في ستار أكاديمي... صوتها بالخليجي روووووعة,tunisia
مقداد بلاهي أرزن هه راجل كبير راك,tunisia
قداااه نكرهو هالغمة عالقلب كالشوكة فالحلق و الفن التونسي دمو رزيييين خاطر مقداد نقيب الفنانين اع ععع مكعبر و معقد و اصلع و يحكي تقول سلطان الجن لوول تي اعطيوه كف و لا صبو عليه ماء بارد فيقوه على وضعو..جبالك الرواسي ولا عبدك الثقيل,tunisia
تخربطت الدعوه نوض نروحو نوض,algeria
هاكا النار شاعلة و هوما في الوسط,algeria
هو المفروض كلنا نهاجر ونسيبهالهم يكلوها فى كل المجالات مش فى الرياضة بس ياكابتن الظلم استفحل وتوغل واستشرى فى كل مجال وعلية العوض ومنة العوض عجبى,egypt
ممثلة ممتازة و صاحبة قيم عالية,tunisia
انا كنت هناك وهروح وهروح وهروح وهروح وهروح وهروح حتى لو اتمسكت اربعين مرة,egypt
يا كريمة نحط الذال كيما قلنا,algeria
مالة ليلة سعيدة,algeria
بجد شكرا على القرار,egypt
انك تمسك صور ع صحابك وهما مش واخدين بالهم وتقعد كل شوبه تبعتهالهم حلو اوي الموضوع ده يا جماعه والله,egypt
الصعايدة وصلوا,egypt
ولا هيحملوا حاجة,egypt
غيرتو النظام واتعدل الدستور,egypt
عنصر مشاغب لا يليق بالبرنامج,tunisia
ايه يا بسمة كاش جديد,algeria
مع هاد الإمان ديالنا هدى الله يحفضنا,morocco
مرض الفم على بالك كون جيت على بالي يهوا وين نحيتهم,algeria
الحمد لله تونس مازال فيها رجال كيف أحمد ووليد,tunisia
امونة الغالية :*,tunisia
نهار كامل وحنا عندها ما نروحوش قاع من عندها كانت عندها سكرية تاع زجاج كبيرة كسرناها لها,algeria
وناولنى تانى قرشين حشيش...,egypt
حرموا عليا الطبيب,algeria
وكيفاش نعرفهم انا,algeria
ايه اسمعي,algeria
على بالك راه كاين عرس في الحومة  الآلي راهو داير حالة,algeria
احب اسال اين رئيس الجمهورية يشوف الشعب المصرى مضلوم من الحكومة والله حرام هنلقيها من المياة ةلا الكهربة ولا الحمة ولا المسؤلين منداة الى رئيس الجمهورية تدخل وارحم الغلابة الله يباركلك,egypt
    وربنا الفوت ده ط ظلم  الناس كلها مبلكه موستا وموستا مبلكهم ومش عارفين يصوتولى ,egypt
وانا عندى امكانية ان انا اقود نفس الحمله ضدهم من خلال موظفين مكتبي والاداره الالكترونيه اللى عندى بس يبقى كده هما لهونى عن عملى وخلونى فعلا اديهم اكتر من حجمهم انا بقولكم الكلمتين دول عشان محدش يشك ولو للحظه ان دول مجموعه من الافراد او ان ليهم سعر ويتوجب الرد عليهم,egypt
مين هذا الي بيكبر على شرع ربنا؟؟؟,egypt
جاب لي ربي كانت غالطة في النيميرو ايه,algeria
واش ضغطتي,morocco
ولكن حتى الرياضيات والاعلام الالي شهادات مزيانة يمكن تخدم بهم في بنكة مثلا,morocco
راسي راه  يوجع,algeria
دار,algeria
شوفي نانا نانا لي متبعاتو خير منك,algeria
مهزلة العصر الاسود,tunisia
عسلة,tunisia
أحمد راجل وفاهم,tunisia
قلت لك المسيح الدجال أو لتم في الجزيرة,algeria
حتى هي كتفضل تقضي الأمور ديالها ف الصباح,morocco
محلى ضحكتها و تدخلاتها وحضورها,tunisia
سير جيب وحدة و رجع لي بقى,morocco
كي تبقى اخر قناه منتفرجش في تافهتكم,tunisia
و ان يقولوا ما يريدونه من ارقام و لازم الناس تصدق! و تقتنع! اومال هيعرفوا,egypt
منال غير تحكي على مليك حا تهبل,algeria
شحال في عمرها بنتو,algeria
وجدات ليها لحوفة و من بعد عطاوهم قال ليها مسكنإنش هنا,morocco
واحلا جعفور,tunisia
لأن هما دول المجرمين في نظر الدولة اللي يطبق عليهم قانون الطوارئ,egypt
والله عيب تكسير كلام ربي كي إنتي لا عمرك حليت كتاب قرآن ماو أسكت لا و الفضيحة سي لطفي العماري و الجمهور لكل يسقفو على أساس قراها بالصحيح,tunisia
يمكن بدورو عشغل ههههههههههههههههه ولله عالم فاضية اشغال هههههه,egypt
وناها,algeria
على بالك أصلا لخرين ماكاش عندي عليهم فكرة بارايقزومبل كونتابيليتي، قلت ايا ندير انفورماتيك و العمال على ربي,algeria
على كل حال هي اللهجة مش مزبوطة وهي كرة قدم نلعب عشان نتسلى.,egypt
مارانيش حابة يجي,algeria
جعفر ممثل بارز في المجتمع ربي يوفقه,tunisia
